Organisation Name,Effective Date,Property ID,Property Type,Property Name,Property Name/Address (Where no UPRN),Street Number,Street,Town / Post Town,Postcode,Ward,Geo X (Easting),Geo Y (Northing),Tenure Type,Vacant,Holding Type,Building Size - GIA (M2),Site Area (Hectares),Occupied by Council / Direct Service Property,Purpose / Asset Category,EPC Rating,Council Tax,Key Features,Property Rent/Sale History,Base Price,New Price,Effective Year,Price Per Sq Meter,Property History Count,EPC Category
"Bristol, City of",7/1/2022,195,House/Houses,Filton Avenue Junior School House,Filton Avenue Junior School House 17 Lockleaze Road Horfield Bristol BS7 9RP,17,Lockleaze Road,Bristol,BS7 9RP,Lockleaze,360029,177014,Freehold Reversion,,Land And Building(S),114.7,0.032735,,Indirect Service / Non-Investment Letting(s),G,2200,,"2010, 2016, 2017, 2021",291200,,2022,2538.796861,4,Low
"Bristol, City of",7/1/2022,201,Community Centre/Facilities,Former Lockleaze School Site,Former Lockleaze School Site Hogarth Walk Lockleaze Bristol BS7 9XT,,Hogarth Walk,Bristol,BS7 9XS,Lockleaze,361178,177519,Freehold,,Land And Building(S),787,4.010698,,Surplus / Non-operational / Under Review,F,2000,,"2016, 2020, 2021, 2024, 2025",291200,,2022,370.0127065,5,Low
"Bristol, City of",7/1/2022,202,Offices,Romney House Bungalow,Romney House Bungalow 325 Romney Avenue Lockleaze Bristol BS7 9SU,,,,BS7 ,Lockleaze,360842,176562,Freehold,Vacant,Land And Building(S),83.2,0.05469,,Surplus / Non-operational / Under Review,B,1200,"Private Parking, Meeting Rooms","2013, 2016, 2017, 2021, 2022, 2025",291200,,2022,3500,6,High
"Bristol, City of",7/1/2022,204,Land/Bldgs Held For Developement,Romney House,Romney House Romney Avenue Lockleaze Bristol BS7 9SU,,Romney Avenue,Bristol,BS7 ,Lockleaze,361212,177431,Freehold,Vacant,Land And Building(S),4272,0.91489,,Surplus / Non-operational / Under Review,G,2200,,"2014, 2015, 2016, 2018, 2020, 2021, 2023",737680.97,,2022,172.6781297,7,Low
"Bristol, City of",7/1/2022,212,Primary School,Shirehampton Primary School,Shirehampton Primary School St Marys Walk Bristol BS11 9RR,,St Marys Walk,Bristol,BS11 9RR,Avonmouth & Lawrence Weston,352735,176863,Freehold,,Land And Building(S),2530.6,1.031833,Yes,Direct Service,G,2200,,"2014, 2016, 2021, 2022, 2023, 2024",1063913.64,,2022,420.4195211,6,Low
"Bristol, City of",7/1/2022,217,Community Centre/Facilities,Cotswold Community Centre,Cotswold Community Centre Dursley Road Shirehampton Bristol BS11 9XH,,,,BS11 9XH,Avonmouth & Lawrence Weston,353563,176483,Freehold,,Land And Building(S),116.2,0.051089,,Indirect Service / Non-Investment Letting(s),G,2200,,"2013, 2016, 2020, 2021",291200,,2022,2506.024096,4,Low
"Bristol, City of",7/1/2022,219,Primary School,St Bernards RC VA Primary School,St Bernards RC VA Primary School Station Road Shirehampton Bristol BS11 9TU,,Station Road,Bristol,BS11 9TU,Avonmouth & Lawrence Weston,353155,176700,Education Acts Agt,,Land And Building(S),1015.7,0,Yes,Direct Service,E,1800,,"2014, 2015, 2016, 2019, 2021, 2022, 2025",373716.52,,2022,367.9398641,7,Low
"Bristol, City of",7/1/2022,221,Library,Shirehampton Library,Shirehampton Library Station Road Shirehampton Bristol BS11 9TU,,Station Road,Bristol,BS11 9TU,Avonmouth & Lawrence Weston,353201,176657,Freehold,,Land And Building(S),130.6,0.038375,Yes,Direct Service,E,1800,,"2010, 2014, 2016, 2017, 2021, 2023",291200,,2022,2229.709035,6,Low
"Bristol, City of",7/1/2022,222,Community Centre/Facilities,Shirehampton Public Hall,Shirehampton Public Hall 32 Station Road Shirehampton Bristol BS11 9TU,32,Station Road,Bristol,BS11 9TX,Avonmouth & Lawrence Weston,353201,176656,Freehold,,Land And Building(S),527,0.101228,,Indirect Service / Non-Investment Letting(s),G,2200,,"2012, 2016, 2017, 2021, 2025",291200,,2022,552.5616698,5,Low
"Bristol, City of",7/1/2022,87687,Land-Residential,Whittock Road - Land Opposite 211-233,Whittock Road - Land Opposite 211-233 Stockwood Bristol BS14 8JZ,,,,BS14 8JZ,Stockwood,361833,168826,Freehold,,Land Only,222,0.295743,Yes,Community,,,,"2013, 2014, 2016, 2017, 2021, 2025",,,2022,0,6,Unknown
"Bristol, City of",7/1/2022,127644,Club/Cinema/Theatre,The Watershed,The Watershed 1 Canons Road Harbouside Bristol BS1 5TX,,Canons Road,Bristol,BS1 5UH,Hotwells & Harbourside,358534,172702,Leasehold,,Building(S) Only,222,0.333445,,Investment Properties,,,,"2013, 2015, 2016, 2018, 2021, 2024",,,2022,0,6,Unknown
"Bristol, City of",7/1/2022,44,Refuse Treatment Works,Avonmouth Refuse Disposal Works,Avonmouth Refuse Disposal Works Kings Weston Lane Avonmouth Bristol BS11 0YS,,Kings Weston Lane,Bristol,BS11 0YS,Avonmouth & Lawrence Weston,353286,179876,Freehold,,Land And Building(S),1058.4,3.363599,,Indirect Service / Non-Investment Letting(s),E,1800,,"2010, 2016, 2018, 2019, 2021, 2022",412960.65,,2022,390.1744615,6,Low
"Bristol, City of",7/1/2022,45,Civic Amenity Site,Avonmouth Household Waste Recycling Centre,Avonmouth Household Waste Recycling Centre Avonmouth Refuse Disposal Works Kings Weston Lane Avonmouth Bristol BS11 0YS,,Kings Weston Lane,Bristol,BS11 0YS,Avonmouth & Lawrence Weston,353286,179876,Freehold,,Land And Building(S),222,3.01607,,Indirect Service / Non-Investment Letting(s),,,,"2012, 2014, 2016, 2018, 2021, 2022, 2025",,,2022,0,7,Unknown
"Bristol, City of",7/1/2022,50,Primary School,Henbury Court Primary Academy,Henbury Court Primary Academy Trevelyan Walk Henbury Bristol BS10 7NY,,,,BS10 7NY,Henbury & Brentry,356517,179139,Freehold Reversion,,Land And Building(S),3067.8,3.874448,,Indirect Service / Non-Investment Letting(s),G,2200,,"2013, 2016, 2020, 2021, 2024, 2025",587140.37,,2022,191.3880859,6,Low
"Bristol, City of",7/1/2022,85768,Land-Farm/Agriculture,Cafe And Play Area,Cafe And Play Area St Werburghs City Farm Watercress Road St Werburghs Bristol BS2 9YJ,,Watercress Road,Bristol,BS2 9YJ,Ashley,359932,175199,Freehold,,Land Only,222,0,,Indirect Service / Non-Investment Letting(s),,,,"2012, 2013, 2014, 2016, 2020, 2021, 2025",,,2022,0,7,Unknown
"Bristol, City of",7/1/2022,8280,Community Centre/Facilities,Beechwood Club,Beechwood Club Beechwood Road Fishponds Bristol BS16 3TR,,Beechwood Road,Bristol,BS16 3TP,Frome Vale,363443,175852,Freehold,,Land And Building(S),234,0.085983,,Indirect Service / Non-Investment Letting(s),G,2200,,"2012, 2016, 2020, 2021, 2022, 2023, 2025",291200,,2022,1244.444444,7,Low
"Bristol, City of",7/1/2022,85663,Community Centre/Facilities,Gatehouse Tenants Centre,Gatehouse Tenants Centre Gatehouse Way Hartcliffe Bristol BS13 9AN,,Gatehouse Way,Bristol,BS13 ,Hartcliffe & Withywood,357416,168287,Freehold,Vacant,Land And Building(S),801.63,0.058548,,Indirect Service / Non-Investment Letting(s),E,1800,,"2012, 2016, 2019, 2021, 2025",291200,,2022,363.259858,5,Low
"Bristol, City of",7/1/2022,1150,Community Centre/Facilities,Willow Park CE VC School - St Michaels Memorial Parish Hall,Willow Park CE VC School - St Michaels Memorial Parish Hall Park Lane Bristol BS2 8BE,,Park Lane,Bristol,BS2 8BE,Central,358468,173287,Leasehold,,Building(S) Only,308,0.031261,Yes,Direct Service,F,2000,,"2016, 2019, 2021, 2022, 2023",291200,,2022,945.4545455,5,Low
"Bristol, City of",7/1/2022,87519,Shop/Kiosk,1-49 Filwood Broadway And Barnstaple Court,1-49 Filwood Broadway And Barnstaple Court Knowle Bristol BS4 1JL,,,,BS4 1JL,Filwood,359408,169651,Freehold Reversion,,Land And Building(S),7108,0.5861,,Indirect Service / Non-Investment Letting(s),E,1800,,"2010, 2014, 2016, 2018, 2021, 2024",3145166.34,,2022,442.4826027,6,Low
"Bristol, City of",7/1/2022,86996,Land-Residential,Rosedale Road - Land Rear Of 10-20,Rosedale Road - Land Rear Of 10-20 Rosedale Road Fishponds Bristol BS16 4EE,,,,BS16 4EE,Hillfields,363947,175437,Freehold,,Land Only,222,0.060434,,Indirect Service / Non-Investment Letting(s),,,,"2012, 2016, 2020, 2021",,,2022,0,4,Unknown
"Bristol, City of",7/1/2022,87072,Day Centre,Bristol Community Links Central,Bristol Community Links Central Russell Town Avenue Moorfields Bristol BS5 9LT,,,,BS5 9LT,Easton,361046,173543,Freehold,,Land And Building(S),163.2,0.018573,Yes,Direct Service,G,2200,,"2014, 2015, 2016, 2019, 2021, 2023, 2024",291200,,2022,1784.313725,7,Low
"Bristol, City of",7/1/2022,86834,Land-Housing Non-Council Development,Sommerville,Sommerville Cricket Lane Southmead Bristol BS10 6TW,,Cricket Lane,Bristol,BS10 6TW,Southmead,357460,177944,Freehold,,Land Only,222,0.512902,,Indirect Service / Non-Investment Letting(s),,,,"2014, 2015, 2016, 2017, 2020, 2021",,,2022,0,6,Unknown
"Bristol, City of",7/1/2022,9092,Offices,St Annes House,St Annes House St Annes Road St Annes Park Bristol BS4 4AB,,St Annes Road,Bristol,BS4 4AB,Brislington East,362040,172779,Freehold,,Land And Building(S),2409.9,0.482227,Yes,Direct Service,D,1600,"Private Parking, Modern Kitchen","2011, 2015, 2016, 2018, 2020, 2021",437652.91,,2022,181.6062534,6,Medium
"Bristol, City of",7/1/2022,85271,Industrial/Workshop,Castle Works,Castle Works Princess Street Bedminster Bristol BS3 4AH,,Princess Street,Bristol,BS3 4AG,Southville,359347,171805,Freehold,,Land And Building(S),222,0.2856,,Investment Properties,,,"Storage Space, Security System","2013, 2016, 2017, 2021",,,2022,0,4,Unknown
"Bristol, City of",7/1/2022,121146,Primary School,Horfield Church Of England VC Primary School,Horfield Church Of England VC Primary School Bishop Manor Road Westbury-on-Trym Bristol BS10 5BD,,Bishop Manor Road,Bristol,BS10 5BD,Horfield,358794,177379,Mixed Title,,Land And Building(S),222,1.501031,Yes,Direct Service,,,,"2010, 2013, 2014, 2016, 2020, 2021, 2022",,,2022,0,7,Unknown
"Bristol, City of",7/1/2022,138892,Land-Housing Council Development,Peverell Court Lane - Housing Development,Peverell Court Lane - Housing Development Peverell Drive Henbury Bristol BS10 7FT,,Peverell Court Lane,Bristol,BS10 7FT,Henbury & Brentry,356933,179408,Freehold,,Land Only,222,0.111844,Yes,Direct Service,,,,"2015, 2016, 2021, 2023",,,2022,0,4,Unknown
"Bristol, City of",7/1/2022,83764,Scout/Guide Building Land,Fir Tree Lane Scout Hall,Fir Tree Lane Scout Hall Fir Tree Lane St George Bristol BS5 8ZZ,,Fir Tree Lane,Bristol,BS5 8ZZ,St George Troopers Hill,363271,173004,Freehold,,Land Only,87.2,0.196698,,Indirect Service / Non-Investment Letting(s),G,2200,,"2011, 2016, 2019, 2021, 2024, 2025",291200,,2022,3339.449541,6,Low
"Bristol, City of",7/1/2022,120949,Childrens Centre,Stoke Park Childrens Centre,Stoke Park Childrens Centre Stoke Park Primary School Brangwyn Grove Lockleaze Bristol BS7 9BY,,Romney Avenue,Bristol,BS7 9BY,Lockleaze,360752,176492,User Rights,,Building(S) Only,222,0.028147,Yes,Direct Service,,,,"2012, 2013, 2016, 2021, 2025",,,2022,0,5,Unknown
"Bristol, City of",7/1/2022,83000,Garage/Garages/Car Parking - Domestic,Pensford Court - Garage Block,Pensford Court - Garage Block Pensford Court Stockwood Bristol BS14 8EQ,,Pensford Court,Bristol,BS14 8EQ,Stockwood,361795,168026,Freehold,,Land And Building(S),222,0.022033,,Surplus / Non-operational / Under Review,,,,"2012, 2014, 2015, 2016, 2017, 2019, 2021",,,2022,0,7,Unknown
"Bristol, City of",7/1/2022,4566,Store/Depot/Warehouse,The Pound Depot,The Pound Depot Clifton Down Clifton Bristol BS8 3HB,,Clifton Down,Bristol,BS8 3HT,Stoke Bishop,356871,174268,Management Agreement,,Land And Building(S),199.2,0,Yes,Direct Service,E,1800,,"2011, 2014, 2015, 2016, 2021",291200,,2022,1461.84739,5,Low
"Bristol, City of",7/1/2022,84563,Garage/Garages/Car Parking - Domestic,Westbury Court Garages Block,Westbury Court Garages Block Chock Lane Westbury-on-Trym Bristol BS9 3HA,,Chock Lane,Bristol,BS9 3HA,Westbury-on-Trym & Henleaze,357480,177325,Freehold,,Land And Building(S),222,,,Surplus / Non-operational / Under Review,,,,"2010, 2012, 2014, 2015, 2016, 2021",,,2022,0,6,Unknown
"Bristol, City of",7/1/2022,84069,Fire Station,Smoke Lane - Fire Training Centre,Smoke Lane - Fire Training Centre Avonmouth Bristol BS11 0YA,,Washingpool Lane,Bristol,BS11 0YA,Avonmouth & Lawrence Weston,353047,180985,Freehold,,Land And Building(S),222,1.772093,,Investment Properties,,,,"2010, 2016, 2018, 2021, 2024",,,2022,0,5,Unknown
"Bristol, City of",7/1/2022,84175,Land-Allotments-Statutory,Troopers Hill Allotments - Land For Caravan Storage,Troopers Hill Allotments - Land For Caravan Storage Cousins Lane St George Bristol,,Cousins Lane,Bristol,BS5 8JU,St George Central,363011,173394,Freehold,,Land Only,222,0.206504,Yes,Community,,,,"2010, 2012, 2013, 2014, 2016, 2017, 2021",,,2022,0,7,Unknown
"Bristol, City of",7/1/2022,139405,Public Conveniences,Eastville Park - Public Conveniences,Eastville Park - Public Conveniences Park Avenue Eastville Bristol BS5 6QL,,Fishponds Road,Bristol,BS5 6XP,Eastville,361901,175140,Freehold,,Land And Building(S),222,0.001614,Yes,Direct Service,,,,"2010, 2012, 2013, 2014, 2016, 2021",,,2022,0,6,Unknown
"Bristol, City of",7/1/2022,80060,Land-Car/Lorry Park,Filton Road Car Park,Filton Road Car Park Filton Road Horfield Bristol,,Filton Road,Bristol,BS7 0SG,Horfield,359879,178119,Freehold,,Land Only,222,0.20087,,Indirect Service / Non-Investment Letting(s),,,,"2014, 2015, 2016, 2018, 2021, 2022",,,2022,0,6,Unknown
"Bristol, City of",7/1/2022,139252,Garage/Garages/Car Parking - Domestic,Dursley Road - Parking Area Adj 16 Charbury Walk,Dursley Road - Parking Area Adj 16 Charbury Walk Dursley Road Shirehampton Bristol BS11 9UU,,,,BS11 9UU,Avonmouth & Lawrence Weston,353405,176371,Freehold,,Land Only,222,0.015697,Yes,Direct Service,,,,"2010, 2015, 2016, 2018, 2021",,,2022,0,5,Unknown
"Bristol, City of",7/1/2022,79846,Training/Community/Further Education,City Learning Centre And St Pauls Library,City Learning Centre And St Pauls Library 94-96 Grosvenor Road St Pauls Bristol BS2 8XJ,96,Grosvenor Road,Bristol,BS2 8XJ,Ashley,359663,174111,Freehold,,Land And Building(S),1695.8,0.193738,Yes,Indirect Service / Non-Investment Letting(s),E,1800,,"2010, 2012, 2014, 2016, 2021",785772.94,,2022,463.3641585,5,Low
"Bristol, City of",7/1/2022,79611,Special School,Briarfield Centre,Briarfield Centre Snowdon Road Fishponds Bristol BS16 2HD,,,,BS16 2HD,Eastville,362584,175838,Freehold,,Land And Building(S),222,0.247525,Yes,Direct Service,,,,"2010, 2016, 2020, 2021, 2024",,,2022,0,5,Unknown
"Bristol, City of",7/1/2022,79633,Training/Community/Further Education,Autistic Spectrum Disorder Centre,Autistic Spectrum Disorder Centre Oasis Academy Brislington Hungerford Road Brislington Bristol BS4 5EY,,Hungerford Road,Bristol,BS4 5EY,Brislington West,362563,169780,Management Agreement,,Building(S) Only,222,0.143097,Yes,Direct Service,,,,"2013, 2016, 2021, 2022, 2024",,,2022,0,5,Unknown
"Bristol, City of",7/1/2022,79883,Land-Dock/Dockyard,Albion Dry Dock,Albion Dry Dock Albion Dockside Estate Hanover Place Harbourside Bristol BS1 6TZ,,Hanover Place,Bristol,BS1 6TZ,Hotwells & Harbourside,357765,172369,Freehold,,Land Only,0,0.675263,,Indirect Service / Non-Investment Letting(s),G,2200,,"2011, 2015, 2016, 2020, 2021, 2024, 2025",291200,,2022,0,7,Low
"Bristol, City of",7/1/2022,128926,Offices,Alder Court VSH - Office Accommodation For HSC Staff.,Alder Court VSH - Office Accommodation For HSC Staff. Chessington Avenue Bristol,,Chessington Avenue,Bristol,BS14 9EW,Hengrove & Whitchurch Park,360694,168427,Leasehold,,Building(S) Only,222,0.102807,Yes,Direct Service,,,"Meeting Rooms, Private Parking","2011, 2013, 2014, 2016, 2021",,,2022,0,5,Unknown
"Bristol, City of",7/1/2022,80798,Garage/Garages/Car Parking - Domestic,Crown Hill - Garages Block Adj 52,Crown Hill - Garages Block Adj 52 Crown Hill St George Bristol,52,Crown Hill,Bristol,BS5 7JP,St George West,362713,173951,Freehold,,Land And Building(S),222,0.003017,,Surplus / Non-operational / Under Review,,,,"2011, 2012, 2016, 2020, 2021",,,2022,0,5,Unknown
"Bristol, City of",7/1/2022,4571,Public Conveniences,Stoke Road Ladies Public Conveniences,Stoke Road Ladies Public Conveniences Stoke Road Stoke Bishop Bristol,,Stoke Road,Bristol,BS9 1FG,Stoke Bishop,357195,174938,Management Agreement,,Land And Building(S),60.7,0.007041,Yes,Direct Service,E,1800,,"2010, 2014, 2015, 2016, 2018, 2021",291200,,2022,4797.364086,6,Low
"Bristol, City of",7/1/2022,80553,Shop/Kiosk,Union Street/Fairfax Street - Shopping Precinct,Union Street/Fairfax Street - Shopping Precinct City Centre Bristol BS1 2DF,17,Union Street,Bristol,BS1 2DF,Central,359004,173204,Freehold,,Land And Building(S),0,0.257151,,Investment Properties,E,1800,,"2013, 2014, 2015, 2016, 2017, 2021, 2025",291200,,2022,0,7,Low
"Bristol, City of",7/1/2022,61204,Offices,Market Chambers,Market Chambers St Nicholas Street City Centre Bristol BS1 1UB,,St Nicholas Street,Bristol,BS1 1UB,Central,358866,172935,Freehold,,Land And Building(S),522.6,0.0225,,Investment Properties,B,1200,"Meeting Rooms, Modern Kitchen","2014, 2016, 2021, 2023",291200,,2022,557.2139303,4,High
"Bristol, City of",7/1/2022,61529,Land-Allotments-Statutory,Kersteman Road Allotments,Kersteman Road Allotments Kersteman Road Redland Bristol,,Kersteman Road,Bristol,BS6 7BX,Redland,358348,175037,Freehold,,Land Only,222,1.282249,Yes,Community,,,,"2013, 2016, 2020, 2021, 2022",,,2022,0,5,Unknown
"Bristol, City of",7/1/2022,139160,Cafe/Restaurant,Ground Floor & Basement 4-6 Victoria Street,Ground Floor & Basement 4-6 Victoria Street Victoria Street Redcliff Bristol BS1 6BN,4,Victoria Street,Bristol,BS1 ,Central,359110,172858,Leasehold,Vacant,Building(S) Only,222,0.018142,,Investment Properties,,,,"2011, 2016, 2021, 2023",,,2022,0,4,Unknown
"Bristol, City of",7/1/2022,63418,Land-Playingfield/Playground/Sports,Hengrove Play And Wheels Park,Hengrove Play And Wheels Park Hengrove Leisure Park Hengrove Way Hengrove Bristol BS14 0HR,,Hengrove Way,Bristol,BS14 0HR,Hengrove & Whitchurch Park,359441,168648,Leasehold,,Land And Building(S),184.9,1.030614,Yes,Direct Service,E,1800,,"2014, 2015, 2016, 2021, 2023",291200,,2022,1574.905354,5,Low
"Bristol, City of",7/1/2022,61882,Sports Building/Hall/Facility,South Bristol Sports Centre And Manor Farm Sports Ground,South Bristol Sports Centre And Manor Farm Sports Ground West Town Lane Brislington Bristol BS14 9EA,,West Town Lane,Bristol,BS14 9EA,Stockwood,361230,169859,Freehold,,Land And Building(S),2368.8,8.194487,,Indirect Service / Non-Investment Letting(s),G,2200,,"2011, 2016, 2017, 2018, 2020, 2021",987865.54,,2022,417.0320584,6,Low
"Bristol, City of",7/1/2022,60264,Industrial/Workshop,Unit 3 Albion Dockside Estate,Unit 3 Albion Dockside Estate Hanover Place Harbourside Bristol BS1 6UT,,Hanover Place,Bristol,BS1 6UT,Hotwells & Harbourside,357701,172256,Freehold,,Land And Building(S),84.4,0.013293,,Investment Properties,B,1200,"Loading Dock, Storage Space","2016, 2017, 2021, 2023, 2024, 2025",291200,,2022,3450.236967,6,High
"Bristol, City of",7/1/2022,123739,Land-Community Development,South Bristol Skills Academy Site,South Bristol Skills Academy Site Hengrove Park Phase 1 The Boulevard Whitchurch Lane Hengrove Bristol BS14 0DB,,,,BS14 0DB,Hengrove & Whitchurch Park,359436,168152,Freehold Reversion,,Land Only,222,2.232746,,Indirect Service / Non-Investment Letting(s),,,,"2016, 2020, 2021, 2022, 2023, 2024",,,2022,0,6,Unknown
"Bristol, City of",7/1/2022,138350,Land/Bldgs Held For Developement,Former Speedwell Fire Station,Former Speedwell Fire Station Speedwell Road Speedwell Bristol BS5 7SY,,Speedwell Road,Bristol,BS5 ,Eastville,363264,174375,Freehold,Vacant,Land And Building(S),222,0.395809,Yes,Direct Service,,,,"2014, 2016, 2018, 2020, 2021",,,2022,0,5,Unknown
"Bristol, City of",7/1/2022,54415,Community Centre/Facilities,Polden House Community Room,Polden House Community Room Polden House Alfred Road Bedminster Bristol BS3 4LF,,Alfred Road,Bristol,BS3 4LF,Windmill Hill,358823,171281,Freehold,,Land And Building(S),222,0,Yes,Direct Service,,,,"2011, 2016, 2017, 2018, 2021",,,2022,0,5,Unknown
"Bristol, City of",7/1/2022,9052,Offices,Wyndham Court,Wyndham Court 12-20 Pritchard Street St Pauls Bristol BS2 8RH,12,Pritchard Street,Bristol,BS2 8RH,Ashley,359413,173588,Freehold Reversion,,Land And Building(S),2750,0.118106,,Investment Properties,C,1400,"Modern Kitchen, Meeting Rooms","2010, 2011, 2015, 2016, 2021, 2024",507307.52,,2022,184.4754618,6,Medium
"Bristol, City of",7/1/2022,120952,Childrens Centre,Brentry And Henbury Childrens Centre,Brentry And Henbury Childrens Centre Brentry Lane Brentry Bristol BS10 6RG,,Brentry Lane,Bristol,BS10 6RG,Henbury & Brentry,357671,179503,Freehold,,Land And Building(S),222,0.462971,,Indirect Service / Non-Investment Letting(s),,,,"2011, 2016, 2021, 2023, 2024",,,2022,0,5,Unknown
"Bristol, City of",7/1/2022,88215,Library,Bedminster Library,Bedminster Library 3 St Peters Court Bedminster Parade Bristol BS3 4AQ,,Bedminster Parade,Bristol,BS3 4AQ,Southville,358832,171865,Leasehold,,Building(S) Only,406.5,0.051909,Yes,Direct Service,E,1800,,"2010, 2013, 2016, 2020, 2021",291200,,2022,716.3591636,5,Low
"Bristol, City of",7/1/2022,54003,Community Centre/Facilities,Butler House Community Room,Butler House Community Room Summerhill Road St George Bristol BS5 8HQ,,Summerhill Road,Bristol,BS5 8HQ,St George Central,362679,173636,Freehold,,Land And Building(S),222,0.0448,Yes,Direct Service,,,,"2016, 2021, 2024",,,2022,0,3,Unknown
"Bristol, City of",7/1/2022,122258,Primary School,Horfield CE VC Primary School Playing Fields,Horfield CE VC Primary School Playing Fields Bishop Manor Road Bristol BS10 5BD,,Bishop Manor Road,Bristol,BS10 5BD,Horfield,358821,177296,Freehold,,Land Only,222,0.903703,Yes,Direct Service,,,,"2013, 2016, 2021, 2022, 2023",,,2022,0,5,Unknown
"Bristol, City of",7/1/2022,123333,Offices,Victoria Park Lodge,Victoria Park Lodge Victoria Park Somerset Terrace Bristol BS3 4LL,,Somerset Terrace,Bristol,BS3 4LL,Windmill Hill,359103,171392,Freehold,,Land And Building(S),288.9,0.007954,Yes,Surplus / Non-operational / Under Review,C,1400,"Meeting Rooms, Modern Kitchen","2012, 2016, 2021, 2022",291200,,2022,1007.961232,4,Medium
"Bristol, City of",7/1/2022,132733,Day Nursery,Abbeywood Tots Nursery,Abbeywood Tots Nursery Stockwood Lane Stockwood Bristol BS14 8SJ,,Stockwood Lane,Bristol,BS14 8SL,Stockwood,362181,167903,Freehold,,Land And Building(S),222,0.143615,,Indirect Service / Non-Investment Letting(s),,,,"2010, 2014, 2015, 2016, 2017, 2020, 2021",,,2022,0,7,Unknown
"Bristol, City of",7/1/2022,850,Land-Unused Land,Site Of Novers Lane Infant School,Site Of Novers Lane Infant School Novers Lane Knowle West Bristol BS4 1QW,,,,BS4 ,Filwood,358360,169468,Freehold,Vacant,Land Only,222,1.093139,,Surplus / Non-operational / Under Review,,,,"2016, 2019, 2021, 2022, 2024, 2025",,,2022,0,6,Unknown
"Bristol, City of",7/1/2022,124452,Community Centre/Facilities,Collinson Road Community Room,Collinson Road Community Room 14 Collinson Road Hartclffe Bristol BS13 9PT,14,Collinson Road,Bristol,BS13 9PT,Hartcliffe & Withywood,357784,168162,Freehold,,Land And Building(S),222,0.03626,Yes,Direct Service,,,,"2012, 2013, 2015, 2016, 2017, 2018, 2021",,,2022,0,7,Unknown
"Bristol, City of",7/1/2022,124674,Land-Amenity,Amenity Land Around Hayleigh House,Amenity Land Around Hayleigh House Silcox Road Hartcliffe Bristol BS13 0JQ,,,,BS13 0JQ,Hartcliffe & Withywood,358361,167690,Freehold,,Land Only,222,0.02714,Yes,Direct Service,,,,"2014, 2016, 2018, 2020, 2021, 2024, 2025",,,2022,0,7,Unknown
"Bristol, City of",7/1/2022,138528,Shop/Kiosk,134 Walsh Avenue,134 Walsh Avenue Loxton Square Hengrove Bristol BS14 9SH,134,Walsh Avenue,Bristol,BS14 9SH,Hengrove & Whitchurch Park,360413,168882,Leasehold,,Building(S) Only,222,0.022912,,Investment Properties,,,,"2010, 2016, 2018, 2019, 2021, 2025",,,2022,0,6,Unknown
"Bristol, City of",7/1/2022,128145,Library,Whitchurch Library,Whitchurch Library Unit 7 Whitchurch District Centre Oatlands Avenue Bristol BS14 0SX,,Oatlands Avenue,Bristol,BS14 0SX,Hengrove & Whitchurch Park,360329,168488,Leasehold,,Building(S) Only,305.85,0.028929,Yes,Direct Service,G,2200,,"2014, 2016, 2019, 2021",291200,,2022,952.100703,4,Low
"Bristol, City of",7/1/2022,138352,Primary School,Oasis Academy Marksbury Road,Oasis Academy Marksbury Road Marksbury Road Bedminster Bristol BS3 5JL,,Marksbury Road,Bristol,BS3 5JL,Filwood,359051,170743,Freehold,,Land And Building(S),222,0.562474,,Indirect Service / Non-Investment Letting(s),,,,"2016, 2017, 2020, 2021",,,2022,0,4,Unknown
"Bristol, City of",7/1/2022,138414,Primary School,Filton Avenue Primary School,Filton Avenue Primary School Lockleaze Road Horfield Bristol BS7 9RP,,Lockleaze Road,Bristol,BS7 9RP,Lockleaze,360113,177097,Freehold,,Land And Building(S),3680,1.722775,,Indirect Service / Non-Investment Letting(s),G,2200,,"2013, 2016, 2017, 2021, 2022, 2023",710534.62,,2022,193.0800598,6,Low
"Bristol, City of",7/1/2022,498,Primary School,Willow Park CE VC School - Playground No 2,Willow Park CE VC School - Playground No 2 Upper Church Lane St Michaels Bristol,,Park Lane,Bristol,BS2 8BE,Central,354890,173280,Leasehold,,Land Only,222,0.062923,Yes,Direct Service,,,,"2013, 2016, 2017, 2021, 2022",,,2022,0,5,Unknown
"Bristol, City of",7/1/2022,138399,Land-Residential,Land At Rear Of 38-42 Lampton Avenue,Land At Rear Of 38-42 Lampton Avenue Lampton Avenue Hartcliffe Bristol BS13 0PZ,,,,BS13 0PZ,Hengrove & Whitchurch Park,359076,167320,Freehold,,Land Only,222,0.090229,,Indirect Service / Non-Investment Letting(s),,,,"2010, 2013, 2016, 2020, 2021, 2023, 2024",,,2022,0,7,Unknown
"Bristol, City of",7/1/2022,39873,Land-Residential,37 Morris Road - Land Adj,37 Morris Road - Land Adj Lockleaze Bristol BS7 9TT,37,Morris Road,Bristol,BS7 9TT,Lockleaze,360276,176088,Freehold,,Land Only,222,0.003217,Yes,Direct Service,,,,"2015, 2016, 2019, 2021, 2025",,,2022,0,5,Unknown
