Organisation Name,Effective Date,Property ID,Property Type,Property Name,Property Name/Address (Where no UPRN),Street Number,Street,Town / Post Town,Postcode,Ward,Geo X (Easting),Geo Y (Northing),Tenure Type,Vacant,Holding Type,Building Size - GIA (M2),Site Area (Hectares),Occupied by Council / Direct Service Property,Purpose / Asset Category,EPC Rating,Council Tax,Key Features,Property Rent/Sale History,Base Price,New Price
"Bristol, City of",7/1/2022,138831,Sports Building/Hall/Facility,Bristol Family Cycling Centre,Bristol Family Cycling Centre Hengrove Park Bamfield Hengrove Bristol  BS14 0FE,,,,BS14 0FE,Hengrove & Whitchurch Park,359887.0,168128.0,Freehold,,Land and Building(s),,0.943662,Yes,Direct Service,,,,"2010, 2012, 2016, 2021, 2022, 2025",,
"Bristol, City of",7/1/2022,224,Youth Club/Centre,Sea Mills Youth Club,Sea Mills Youth Club Woodleaze Sea Mills Bristol BS9 2HX,,Bluebell Close,Bristol,BS9 2HX,Stoke Bishop,354857.0,176551.0,Freehold,,Land and Building(s),,0.154926,,Indirect Service / Non-Investment Letting(s),,,,"2010, 2016, 2017, 2021, 2024, 2025",,
"Bristol, City of",7/1/2022,226,House/Houses,Sea Mills Primary School House,Sea Mills Primary School House Riverleaze Sea Mills Bristol BS9 2HL,,Riverleaze,Bristol,BS9 2HL,Stoke Bishop,354950.0,176246.0,Freehold,,Land and Building(s),,0.034576,Yes,Direct Service,,,,"2010, 2011, 2016, 2019, 2021, 2022, 2024, 2025",,
"Bristol, City of",7/1/2022,141,House Service Occupancy,Oasis Academy Brightstowe School House,Oasis Academy Brightstowe School House Penpole Lane Shirehampton Bristol BS11 0EA,,Penpole Lane,Bristol,BS11 0EA,Avonmouth & Lawrence Weston,353354.0,177167.0,Freehold,,Land and Building(s),,0.042037,Yes,Direct Service,,,,"2010, 2016, 2017, 2018, 2019, 2021, 2023",,
"Bristol, City of",7/1/2022,144,Special School,Kingsweston Special School,Kingsweston Special School Napier Miles Road Kingsweston Bristol BS11 0UT,,Napier Miles Road,Bristol,BS11 0UT,Avonmouth & Lawrence Weston,354402.0,177556.0,Freehold,,Land and Building(s),3118.1,1.731265,Yes,Direct Service,E,1800.0,,"2010, 2016, 2021, 2023",1309629.31,
"Bristol, City of",7/1/2022,145,House/Houses,Kingsweston Special School - Lodge,Kingsweston Special School - Lodge 2 Napier Miles Road Kingsweston Bristol BS11 0UT,,Napier Miles Road,Bristol,BS11 ,Avonmouth & Lawrence Weston,354359.0,177600.0,Freehold,Vacant,Land and Building(s),,0.00442,Yes,Direct Service,,,,"2010, 2011, 2012, 2014, 2016, 2019, 2021, 2025",,
"Bristol, City of",7/1/2022,146,Special School,Kingsweston Special School - Lodge,Kingsweston Special School - Lodge 1 Napier Miles Road Kingsweston Bristol BS11 0UT,,,,BS11 ,Avonmouth & Lawrence Weston,354337.0,177573.0,Freehold,Vacant,Land and Building(s),84.0,0.004247,Yes,Direct Service,E,1800.0,,"2011, 2012, 2016, 2017, 2019, 2021",291200.0,
"Bristol, City of",7/1/2022,149,E P Home/Dwellings,Former Coombe EPH ,Former Coombe EPH  321 Canford Lane Westbury-on-Trym Bristol BS9 3PJ,321.0,Canford Lane,Bristol,BS9 ,Westbury-on-Trym & Henleaze,355985.0,177517.0,Freehold,Vacant,Land and Building(s),1117.3,0.239062,,Surplus / Non-operational / Under Review,G,2200.0,,"2011, 2016, 2019, 2020, 2021, 2022, 2024",291200.0,
"Bristol, City of",7/1/2022,150,Library,Sea Mills Library,Sea Mills Library Sylvan Way Sea Mills Bristol BS9 2NA,,Sylvan Way,Bristol,BS9 2NA,Avonmouth & Lawrence Weston,355020.0,177143.0,Freehold,,Land and Building(s),234.4,0.095127,Yes,Direct Service,G,2200.0,,"2011, 2016, 2018, 2019, 2020, 2021",291200.0,
"Bristol, City of",7/1/2022,155,Library,Westbury Library,Westbury Library Falcondale Road Westbury-on-Trym Bristol BS9 3JZ,,Falcondale Road,Bristol,BS9 3JZ,Westbury-on-Trym & Henleaze,356896.0,177271.0,Freehold,,Land and Building(s),251.5,0.0735,Yes,Direct Service,F,2000.0,,"2013, 2015, 2016, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,87915,Land-Garden,Henshaw Walk - Land At Rear Of 3-9,Henshaw Walk - Land At Rear Of 3-9 Henshaw Walk Speedwell Bristol,5.0,Henshaw Walk,Bristol,BS15 1QG,Hillfields,364378.0,174739.0,Freehold,,Land only,,0.026354,,Surplus / Non-operational / Under Review,,,,"2011, 2014, 2016, 2020, 2021, 2022",,
"Bristol, City of",7/1/2022,124348,Sports Building/Hall/Facility,Netham Sports And Community Pavilion,Netham Sports And Community Pavilion Netham Park Avonvale Road Redfield Bristol BS5 9RN,,Avonvale Road,Bristol,BS5 9RN,Easton,361427.0,172963.0,Freehold,,Land and Building(s),688.0,0.073519,Yes,Direct Service,F,2000.0,,"2011, 2015, 2016, 2018, 2019, 2021",291200.0,
"Bristol, City of",7/1/2022,138448,House/Houses,75 Station Road,75 Station Road Henbury Bristol BS10 7QH,75.0,Station Road,Bristol,BS10 7QH,Henbury & Brentry,356281.0,179060.0,Freehold,,Land and Building(s),,0.113361,Yes,Direct Service,,,,"2013, 2016, 2018, 2021, 2023",,
"Bristol, City of",7/1/2022,260,Secondary School,Site Of Former Romney Avenue Junior School,Site Of Former Romney Avenue Junior School Romney Avenue Lockleaze Bristol BS7 9SX,,Romney Avenue,Bristol,BS7 9BY,Lockleaze,360752.0,176492.0,Freehold,,Land only,0.0,1.723,,Assets Under Construction,F,2000.0,,"2016, 2017, 2018, 2020, 2021, 2022",291200.0,
"Bristol, City of",7/1/2022,180,Land-Playingfield/Playground/Sports,Dorian Road Playing Fields,Dorian Road Playing Fields Horfield Bristol BS7 0XU,,Dorian Road,Bristol,BS7 0XU,Horfield,359593.0,177501.0,Freehold,,Land only,,3.173452,Yes,Direct Service,,,,"2013, 2014, 2016, 2021, 2023, 2025",,
"Bristol, City of",7/1/2022,182,Childrens Homes,45 Bishopthorpe Road,45 Bishopthorpe Road Horfield Bristol BS10 5AB,,Bishopthorpe Road,Bristol,BS10 5AB,Horfield,358929.0,177094.0,Freehold,,Land and Building(s),189.2,0.105318,Yes,Direct Service,G,2200.0,,"2016, 2017, 2021, 2023",291200.0,
"Bristol, City of",7/1/2022,183,Day Centre,148 Rodbourne Road,148 Rodbourne Road Horfield Bristol BS10 5AN,148.0,Rodbourne Road,Bristol,BS10 5AN,Horfield,359302.0,177020.0,Freehold,,Land and Building(s),211.4,0.0926,Yes,Direct Service,E,1800.0,,"2012, 2014, 2016, 2020, 2021",291200.0,
"Bristol, City of",7/1/2022,184,Primary School,Upper Horfield Community School And Early Years,Upper Horfield Community School And Early Years Sheridan Road Horfield Bristol BS7 0PU,,Sheridan Road,Bristol,BS7 0PU,Horfield,360042.0,177960.0,Freehold,,Land and Building(s),2363.7,0.524366,Yes,Direct Service,E,1800.0,,"2010, 2011, 2016, 2021",879096.11,
"Bristol, City of",7/1/2022,9009,Land-Public Park,King George V Memorial Park,King George V Memorial Park Owen Square Easton Bristol BS5 6AN,,Owen Street,Bristol,BS5 6AN,Easton,361065.0,173832.0,Freehold,,Land only,,1.584544,Yes,Community,,,,"2013, 2016, 2019, 2020, 2021, 2025",,
"Bristol, City of",7/1/2022,88059,Community Centre/Facilities,Part Of Malcolm X Community Centre,Part Of Malcolm X Community Centre City Road Bristol BS2 8YH,,City Road,Bristol,BS2 8YH,Ashley,359479.0,174144.0,Freehold,,Land and Building(s),,0.120903,,Indirect Service / Non-Investment Letting(s),,,,"2012, 2013, 2016, 2019, 2021",,
"Bristol, City of",7/1/2022,87896,Store/Depot/Warehouse,King Street - Warehouse At Rear Of 17,King Street - Warehouse At Rear Of 17 City Centre Bristol BS1 4EF,17.0,King Street,Bristol,BS1 4EF,Central,358777.0,172688.0,Freehold,,Land and Building(s),,0.007435,,Investment Properties,,,,"2015, 2016, 2018, 2019, 2020, 2021",,
"Bristol, City of",7/1/2022,189,Library,Horfield Library,Horfield Library Filton Avenue Horfield Bristol BS7 0BD,,Filton Avenue,Bristol,BS7 0BD,Lockleaze,360251.0,177472.0,Freehold,,Land and Building(s),270.0,0.076712,Yes,Direct Service,E,1800.0,,"2015, 2016, 2018, 2021, 2024",291200.0,
"Bristol, City of",7/1/2022,191,Nursery School,Filton Avenue Nursery School And Childrens Centre,Filton Avenue Nursery School And Childrens Centre Blakeney Road Horfield Bristol BS7 0DL,,Blakeney Road,Bristol,BS7 0DL,Lockleaze,360148.0,177014.0,Freehold,,Land and Building(s),848.7,0.338736,Yes,Direct Service,G,2200.0,,"2014, 2016, 2017, 2018, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,195,House/Houses,Filton Avenue Junior School House,Filton Avenue Junior School House 17 Lockleaze Road Horfield Bristol BS7 9RP,17.0,Lockleaze Road,Bristol,BS7 9RP,Lockleaze,360029.0,177014.0,Freehold Reversion,,Land and Building(s),114.7,0.032735,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2010, 2016, 2017, 2021",291200.0,
"Bristol, City of",7/1/2022,201,Community Centre/Facilities,Former Lockleaze School Site,Former Lockleaze School Site Hogarth Walk Lockleaze Bristol BS7 9XT,,Hogarth Walk,Bristol,BS7 9XS,Lockleaze,361178.0,177519.0,Freehold,,Land and Building(s),787.0,4.010698,,Surplus / Non-operational / Under Review,F,2000.0,,"2016, 2020, 2021, 2024, 2025",291200.0,
"Bristol, City of",7/1/2022,202,Offices,Romney House Bungalow,Romney House Bungalow 325 Romney Avenue Lockleaze Bristol BS7 9SU,,,,BS7 ,Lockleaze,360842.0,176562.0,Freehold,Vacant,Land and Building(s),83.2,0.05469,,Surplus / Non-operational / Under Review,B,1200.0,"Private Parking, Meeting Rooms","2013, 2016, 2017, 2021, 2022, 2025",291200.0,
"Bristol, City of",7/1/2022,204,Land/Bldgs held for Developement,Romney House,Romney House Romney Avenue Lockleaze Bristol BS7 9SU,,Romney Avenue,Bristol,BS7 ,Lockleaze,361212.0,177431.0,Freehold,Vacant,Land and Building(s),4272.0,0.91489,,Surplus / Non-operational / Under Review,G,2200.0,,"2014, 2015, 2016, 2018, 2020, 2021, 2023",737680.97,
"Bristol, City of",7/1/2022,212,Primary School,Shirehampton Primary School,Shirehampton Primary School St Marys Walk Bristol BS11 9RR,,St Marys Walk,Bristol,BS11 9RR,Avonmouth & Lawrence Weston,352735.0,176863.0,Freehold,,Land and Building(s),2530.6,1.031833,Yes,Direct Service,G,2200.0,,"2014, 2016, 2021, 2022, 2023, 2024",1063913.64,
"Bristol, City of",7/1/2022,217,Community Centre/Facilities,Cotswold Community Centre,Cotswold Community Centre Dursley Road Shirehampton Bristol BS11 9XH,,,,BS11 9XH,Avonmouth & Lawrence Weston,353563.0,176483.0,Freehold,,Land and Building(s),116.2,0.051089,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2013, 2016, 2020, 2021",291200.0,
"Bristol, City of",7/1/2022,219,Primary School,St Bernards RC VA Primary School,St Bernards RC VA Primary School Station Road Shirehampton Bristol BS11 9TU,,Station Road,Bristol,BS11 9TU,Avonmouth & Lawrence Weston,353155.0,176700.0,Education Acts Agt,,Land and Building(s),1015.7,0.0,Yes,Direct Service,E,1800.0,,"2014, 2015, 2016, 2019, 2021, 2022, 2025",373716.52,
"Bristol, City of",7/1/2022,221,Library,Shirehampton Library,Shirehampton Library Station Road Shirehampton Bristol BS11 9TU,,Station Road,Bristol,BS11 9TU,Avonmouth & Lawrence Weston,353201.0,176657.0,Freehold,,Land and Building(s),130.6,0.038375,Yes,Direct Service,E,1800.0,,"2010, 2014, 2016, 2017, 2021, 2023",291200.0,
"Bristol, City of",7/1/2022,222,Community Centre/Facilities,Shirehampton Public Hall,Shirehampton Public Hall 32 Station Road Shirehampton Bristol BS11 9TU,32.0,Station Road,Bristol,BS11 9TX,Avonmouth & Lawrence Weston,353201.0,176656.0,Freehold,,Land and Building(s),527.0,0.101228,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2012, 2016, 2017, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,87687,Land-Residential,Whittock Road - Land Opposite 211-233,Whittock Road - Land Opposite 211-233 Stockwood Bristol BS14 8JZ,,,,BS14 8JZ,Stockwood,361833.0,168826.0,Freehold,,Land only,,0.295743,Yes,Community,,,,"2013, 2014, 2016, 2017, 2021, 2025",,
"Bristol, City of",7/1/2022,127644,Club/Cinema/Theatre,The Watershed,The Watershed 1 Canons Road Harbouside Bristol BS1 5TX,,Canons Road,Bristol,BS1 5UH,Hotwells & Harbourside,358534.0,172702.0,Leasehold,,Building(s) only,,0.333445,,Investment Properties,,,,"2013, 2015, 2016, 2018, 2021, 2024",,
"Bristol, City of",7/1/2022,44,Refuse Treatment Works,Avonmouth Refuse Disposal Works,Avonmouth Refuse Disposal Works Kings Weston Lane Avonmouth Bristol BS11 0YS,,Kings Weston Lane,Bristol,BS11 0YS,Avonmouth & Lawrence Weston,353286.0,179876.0,Freehold,,Land and Building(s),1058.4,3.363599,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2010, 2016, 2018, 2019, 2021, 2022",412960.65,
"Bristol, City of",7/1/2022,45,Civic Amenity Site,Avonmouth Household Waste Recycling Centre,Avonmouth Household Waste Recycling Centre Avonmouth Refuse Disposal Works Kings Weston Lane Avonmouth Bristol BS11 0YS,,Kings Weston Lane,Bristol,BS11 0YS,Avonmouth & Lawrence Weston,353286.0,179876.0,Freehold,,Land and Building(s),,3.01607,,Indirect Service / Non-Investment Letting(s),,,,"2012, 2014, 2016, 2018, 2021, 2022, 2025",,
"Bristol, City of",7/1/2022,50,Primary School,Henbury Court Primary Academy,Henbury Court Primary Academy Trevelyan Walk Henbury Bristol BS10 7NY,,,,BS10 7NY,Henbury & Brentry,356517.0,179139.0,Freehold Reversion,,Land and Building(s),3067.8,3.874448,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2013, 2016, 2020, 2021, 2024, 2025",587140.37,
"Bristol, City of",7/1/2022,85768,Land-Farm/Agriculture,Cafe And Play Area,Cafe And Play Area St Werburghs City Farm Watercress Road St Werburghs Bristol BS2 9YJ,,Watercress Road,Bristol,BS2 9YJ,Ashley,359932.0,175199.0,Freehold,,Land only,,0.0,,Indirect Service / Non-Investment Letting(s),,,,"2012, 2013, 2014, 2016, 2020, 2021, 2025",,
"Bristol, City of",7/1/2022,8280,Community Centre/Facilities,Beechwood Club,Beechwood Club Beechwood Road Fishponds Bristol BS16 3TR,,Beechwood Road,Bristol,BS16 3TP,Frome Vale,363443.0,175852.0,Freehold,,Land and Building(s),234.0,0.085983,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2012, 2016, 2020, 2021, 2022, 2023, 2025",291200.0,
"Bristol, City of",7/1/2022,85663,Community Centre/Facilities,Gatehouse Tenants Centre,Gatehouse Tenants Centre Gatehouse Way Hartcliffe Bristol BS13 9AN,,Gatehouse Way,Bristol,BS13 ,Hartcliffe & Withywood,357416.0,168287.0,Freehold,Vacant,Land and Building(s),801.63,0.058548,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2012, 2016, 2019, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,1150,Community Centre/Facilities,Willow Park CE VC School - St Michaels Memorial Parish Hall,Willow Park CE VC School - St Michaels Memorial Parish Hall Park Lane Bristol BS2 8BE,,Park Lane,Bristol,BS2 8BE,Central,358468.0,173287.0,Leasehold,,Building(s) only,308.0,0.031261,Yes,Direct Service,F,2000.0,,"2016, 2019, 2021, 2022, 2023",291200.0,
"Bristol, City of",7/1/2022,87519,Shop/Kiosk,1-49 Filwood Broadway And Barnstaple Court,1-49 Filwood Broadway And Barnstaple Court Knowle Bristol BS4 1JL,,,,BS4 1JL,Filwood,359408.0,169651.0,Freehold Reversion,,Land and Building(s),7108.0,0.5861,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2010, 2014, 2016, 2018, 2021, 2024",3145166.34,
"Bristol, City of",7/1/2022,86996,Land-Residential,Rosedale Road - Land Rear Of 10-20,Rosedale Road - Land Rear Of 10-20 Rosedale Road Fishponds Bristol BS16 4EE,,,,BS16 4EE,Hillfields,363947.0,175437.0,Freehold,,Land only,,0.060434,,Indirect Service / Non-Investment Letting(s),,,,"2012, 2016, 2020, 2021",,
"Bristol, City of",7/1/2022,87072,Day Centre,Bristol Community Links Central,Bristol Community Links Central Russell Town Avenue Moorfields Bristol BS5 9LT,,,,BS5 9LT,Easton,361046.0,173543.0,Freehold,,Land and Building(s),163.2,0.018573,Yes,Direct Service,G,2200.0,,"2014, 2015, 2016, 2019, 2021, 2023, 2024",291200.0,
"Bristol, City of",7/1/2022,86834,Land-Housing Non-Council Development,Sommerville,Sommerville Cricket Lane Southmead Bristol BS10 6TW,,Cricket Lane,Bristol,BS10 6TW,Southmead,357460.0,177944.0,Freehold,,Land only,,0.512902,,Indirect Service / Non-Investment Letting(s),,,,"2014, 2015, 2016, 2017, 2020, 2021",,
"Bristol, City of",7/1/2022,9092,Offices,St Annes House,St Annes House St Annes Road St Annes Park Bristol BS4 4AB,,St Annes Road,Bristol,BS4 4AB,Brislington East,362040.0,172779.0,Freehold,,Land and Building(s),2409.9,0.482227,Yes,Direct Service,D,1600.0,"Private Parking, Modern Kitchen","2011, 2015, 2016, 2018, 2020, 2021",437652.91,
"Bristol, City of",7/1/2022,85271,Industrial/Workshop,Castle Works,Castle Works Princess Street Bedminster Bristol BS3 4AH,,Princess Street,Bristol,BS3 4AG,Southville,359347.0,171805.0,Freehold,,Land and Building(s),,0.2856,,Investment Properties,,,"Storage Space, Security System","2013, 2016, 2017, 2021",,
"Bristol, City of",7/1/2022,121146,Primary School,Horfield Church Of England VC Primary School,Horfield Church Of England VC Primary School Bishop Manor Road Westbury-on-Trym Bristol BS10 5BD,,Bishop Manor Road,Bristol,BS10 5BD,Horfield,358794.0,177379.0,Mixed Title,,Land and Building(s),,1.501031,Yes,Direct Service,,,,"2010, 2013, 2014, 2016, 2020, 2021, 2022",,
"Bristol, City of",7/1/2022,138892,Land-Housing Council Development,Peverell Court Lane - Housing Development,Peverell Court Lane - Housing Development Peverell Drive Henbury Bristol BS10 7FT,,Peverell Court Lane,Bristol,BS10 7FT,Henbury & Brentry,356933.0,179408.0,Freehold,,Land only,,0.111844,Yes,Direct Service,,,,"2015, 2016, 2021, 2023",,
"Bristol, City of",7/1/2022,83764,Scout/Guide Building Land,Fir Tree Lane Scout Hall,Fir Tree Lane Scout Hall Fir Tree Lane St George Bristol BS5 8ZZ,,Fir Tree Lane,Bristol,BS5 8ZZ,St George Troopers Hill,363271.0,173004.0,Freehold,,Land only,87.2,0.196698,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2011, 2016, 2019, 2021, 2024, 2025",291200.0,
"Bristol, City of",7/1/2022,120949,Childrens Centre,Stoke Park Childrens Centre,Stoke Park Childrens Centre Stoke Park Primary School Brangwyn Grove Lockleaze Bristol BS7 9BY,,Romney Avenue,Bristol,BS7 9BY,Lockleaze,360752.0,176492.0,User Rights,,Building(s) only,,0.028147,Yes,Direct Service,,,,"2012, 2013, 2016, 2021, 2025",,
"Bristol, City of",7/1/2022,83000,Garage/Garages/Car Parking - Domestic,Pensford Court - Garage Block,Pensford Court - Garage Block Pensford Court Stockwood Bristol BS14 8EQ,,Pensford Court,Bristol,BS14 8EQ,Stockwood,361795.0,168026.0,Freehold,,Land and Building(s),,0.022033,,Surplus / Non-operational / Under Review,,,,"2012, 2014, 2015, 2016, 2017, 2019, 2021",,
"Bristol, City of",7/1/2022,4566,Store/Depot/Warehouse,The Pound Depot,The Pound Depot Clifton Down Clifton Bristol BS8 3HB,,Clifton Down,Bristol,BS8 3HT,Stoke Bishop,356871.0,174268.0,Management Agreement,,Land and Building(s),199.2,0.0,Yes,Direct Service,E,1800.0,,"2011, 2014, 2015, 2016, 2021",291200.0,
"Bristol, City of",7/1/2022,84563,Garage/Garages/Car Parking - Domestic,Westbury Court Garages Block,Westbury Court Garages Block Chock Lane Westbury-on-Trym Bristol BS9 3HA,,Chock Lane,Bristol,BS9 3HA,Westbury-on-Trym & Henleaze,357480.0,177325.0,Freehold,,Land and Building(s),,,,Surplus / Non-operational / Under Review,,,,"2010, 2012, 2014, 2015, 2016, 2021",,
"Bristol, City of",7/1/2022,84069,Fire Station,Smoke Lane - Fire Training Centre,Smoke Lane - Fire Training Centre Avonmouth Bristol BS11 0YA,,Washingpool Lane,Bristol,BS11 0YA,Avonmouth & Lawrence Weston,353047.0,180985.0,Freehold,,Land and Building(s),,1.772093,,Investment Properties,,,,"2010, 2016, 2018, 2021, 2024",,
"Bristol, City of",7/1/2022,84175,Land-Allotments-Statutory,Troopers Hill Allotments - Land For Caravan Storage,Troopers Hill Allotments - Land For Caravan Storage Cousins Lane St George Bristol,,Cousins Lane,Bristol,BS5 8JU,St George Central,363011.0,173394.0,Freehold,,Land only,,0.206504,Yes,Community,,,,"2010, 2012, 2013, 2014, 2016, 2017, 2021",,
"Bristol, City of",7/1/2022,139405,Public Conveniences,Eastville Park - Public Conveniences,Eastville Park - Public Conveniences Park Avenue Eastville Bristol BS5 6QL,,Fishponds Road,Bristol,BS5 6XP,Eastville,361901.0,175140.0,Freehold,,Land and Building(s),,0.001614,Yes,Direct Service,,,,"2010, 2012, 2013, 2014, 2016, 2021",,
"Bristol, City of",7/1/2022,80060,Land-Car/Lorry Park,Filton Road Car Park,Filton Road Car Park Filton Road Horfield Bristol,,Filton Road,Bristol,BS7 0SG,Horfield,359879.0,178119.0,Freehold,,Land only,,0.20087,,Indirect Service / Non-Investment Letting(s),,,,"2014, 2015, 2016, 2018, 2021, 2022",,
"Bristol, City of",7/1/2022,139252,Garage/Garages/Car Parking - Domestic,Dursley Road - Parking Area Adj 16 Charbury Walk,Dursley Road - Parking Area Adj 16 Charbury Walk Dursley Road Shirehampton Bristol BS11 9UU,,,,BS11 9UU,Avonmouth & Lawrence Weston,353405.0,176371.0,Freehold,,Land only,,0.015697,Yes,Direct Service,,,,"2010, 2015, 2016, 2018, 2021",,
"Bristol, City of",7/1/2022,79846,Training/Community/Further Education,City Learning Centre And St Pauls Library,City Learning Centre And St Pauls Library 94-96 Grosvenor Road St Pauls Bristol BS2 8XJ,96.0,Grosvenor Road,Bristol,BS2 8XJ,Ashley,359663.0,174111.0,Freehold,,Land and Building(s),1695.8,0.193738,Yes,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2010, 2012, 2014, 2016, 2021",785772.94,
"Bristol, City of",7/1/2022,79611,Special School,Briarfield Centre,Briarfield Centre Snowdon Road Fishponds Bristol BS16 2HD,,,,BS16 2HD,Eastville,362584.0,175838.0,Freehold,,Land and Building(s),,0.247525,Yes,Direct Service,,,,"2010, 2016, 2020, 2021, 2024",,
"Bristol, City of",7/1/2022,79633,Training/Community/Further Education,Autistic Spectrum Disorder Centre,Autistic Spectrum Disorder Centre Oasis Academy Brislington Hungerford Road Brislington Bristol BS4 5EY,,Hungerford Road,Bristol,BS4 5EY,Brislington West,362563.0,169780.0,Management Agreement,,Building(s) only,,0.143097,Yes,Direct Service,,,,"2013, 2016, 2021, 2022, 2024",,
"Bristol, City of",7/1/2022,79883,Land-Dock/Dockyard,Albion Dry Dock,Albion Dry Dock Albion Dockside Estate Hanover Place Harbourside Bristol BS1 6TZ,,Hanover Place,Bristol,BS1 6TZ,Hotwells & Harbourside,357765.0,172369.0,Freehold,,Land only,0.0,0.675263,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2011, 2015, 2016, 2020, 2021, 2024, 2025",291200.0,
"Bristol, City of",7/1/2022,128926,Offices,Alder Court VSH - Office Accommodation For HSC Staff.,Alder Court VSH - Office Accommodation For HSC Staff. Chessington Avenue Bristol,,Chessington Avenue,Bristol,BS14 9EW,Hengrove & Whitchurch Park,360694.0,168427.0,Leasehold,,Building(s) only,,0.102807,Yes,Direct Service,,,"Meeting Rooms, Private Parking","2011, 2013, 2014, 2016, 2021",,
"Bristol, City of",7/1/2022,80798,Garage/Garages/Car Parking - Domestic,Crown Hill - Garages Block Adj 52,Crown Hill - Garages Block Adj 52 Crown Hill St George Bristol,52.0,Crown Hill,Bristol,BS5 7JP,St George West,362713.0,173951.0,Freehold,,Land and Building(s),,0.003017,,Surplus / Non-operational / Under Review,,,,"2011, 2012, 2016, 2020, 2021",,
"Bristol, City of",7/1/2022,4571,Public Conveniences,Stoke Road Ladies Public Conveniences,Stoke Road Ladies Public Conveniences Stoke Road Stoke Bishop Bristol,,Stoke Road,Bristol,BS9 1FG,Stoke Bishop,357195.0,174938.0,Management Agreement,,Land and Building(s),60.7,0.007041,Yes,Direct Service,E,1800.0,,"2010, 2014, 2015, 2016, 2018, 2021",291200.0,
"Bristol, City of",7/1/2022,80553,Shop/Kiosk,Union Street/Fairfax Street - Shopping Precinct,Union Street/Fairfax Street - Shopping Precinct City Centre Bristol BS1 2DF,17.0,Union Street,Bristol,BS1 2DF,Central,359004.0,173204.0,Freehold,,Land and Building(s),0.0,0.257151,,Investment Properties,E,1800.0,,"2013, 2014, 2015, 2016, 2017, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,61204,Offices,Market Chambers,Market Chambers St Nicholas Street City Centre Bristol BS1 1UB,,St Nicholas Street,Bristol,BS1 1UB,Central,358866.0,172935.0,Freehold,,Land and Building(s),522.6,0.0225,,Investment Properties,B,1200.0,"Meeting Rooms, Modern Kitchen","2014, 2016, 2021, 2023",291200.0,
"Bristol, City of",7/1/2022,61529,Land-Allotments-Statutory,Kersteman Road Allotments,Kersteman Road Allotments Kersteman Road Redland Bristol,,Kersteman Road,Bristol,BS6 7BX,Redland,358348.0,175037.0,Freehold,,Land only,,1.282249,Yes,Community,,,,"2013, 2016, 2020, 2021, 2022",,
"Bristol, City of",7/1/2022,139160,Cafe/Restaurant,Ground Floor & Basement 4-6 Victoria Street,Ground Floor & Basement 4-6 Victoria Street Victoria Street Redcliff Bristol BS1 6BN,4.0,Victoria Street,Bristol,BS1 ,Central,359110.0,172858.0,Leasehold,Vacant,Building(s) only,,0.018142,,Investment Properties,,,,"2011, 2016, 2021, 2023",,
"Bristol, City of",7/1/2022,63418,Land-Playingfield/Playground/Sports,Hengrove Play And Wheels Park,Hengrove Play And Wheels Park Hengrove Leisure Park Hengrove Way Hengrove Bristol BS14 0HR,,Hengrove Way,Bristol,BS14 0HR,Hengrove & Whitchurch Park,359441.0,168648.0,Leasehold,,Land and Building(s),184.9,1.030614,Yes,Direct Service,E,1800.0,,"2014, 2015, 2016, 2021, 2023",291200.0,
"Bristol, City of",7/1/2022,61882,Sports Building/Hall/Facility,South Bristol Sports Centre And Manor Farm Sports Ground,South Bristol Sports Centre And Manor Farm Sports Ground West Town Lane Brislington Bristol BS14 9EA,,West Town Lane,Bristol,BS14 9EA,Stockwood,361230.0,169859.0,Freehold,,Land and Building(s),2368.8,8.194487,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2011, 2016, 2017, 2018, 2020, 2021",987865.54,
"Bristol, City of",7/1/2022,60264,Industrial/Workshop,Unit 3 Albion Dockside Estate,Unit 3 Albion Dockside Estate Hanover Place Harbourside Bristol BS1 6UT,,Hanover Place,Bristol,BS1 6UT,Hotwells & Harbourside,357701.0,172256.0,Freehold,,Land and Building(s),84.4,0.013293,,Investment Properties,B,1200.0,"Loading Dock, Storage Space","2016, 2017, 2021, 2023, 2024, 2025",291200.0,
